time (seconds since 2000-01-01 12:00:00),longwave (W/m^2)
5.2261452E8,8.3763262e-06
5.2261458E8,7.6038414e-06
5.2261464E8,6.9256621e-06
5.226147E8,6.3540529e-06
5.2261476E8,5.8702126e-06
5.2261482E8,5.4592301e-06
5.2261488E8,5.0830022e-06
5.2261494E8,4.7025005e-06
5.22615E8,4.3436544e-06
5.2261506E8,4.0159634e-06
5.2261512E8,3.7220152e-06
5.2261518E8,3.4684238e-06
5.2261524E8,3.2335290e-06
5.226153E8,3.0208221e-06
5.2261536E8,2.8118052e-06
5.2261542E8,2.6096839e-06
5.2261548E8,2.4295514e-06
5.2261554E8,2.2677175e-06
5.226156E8,2.1239230e-06
5.2261566E8,2.0085499e-06
5.2261572E8,1.8933067e-06
5.2261578E8,1.7748146e-06
5.2261584E8,1.6660646e-06
5.226159E8,1.5649671e-06
5.2261596E8,1.4787466e-06
5.2261602E8,1.3940488e-06
5.2261608E8,1.3309765e-06
5.2261614E8,1.2656978e-06
5.226162E8,1.2063891e-06
5.2261626E8,1.1466910e-06
5.2261632E8,1.1004898e-06
5.2261638E8,1.0602370e-06
5.2261644E8,1.0285926e-06
5.226165E8,9.9770534e-07
5.2261656E8,9.6326210e-07
5.2261662E8,9.2788451e-07
5.2261668E8,9.2100623e-07
5.2261674E8,9.0906661e-07
5.226168E8,8.8598335e-07
5.2261686E8,8.6714817e-07
5.2261692E8,8.5105563e-07
5.2261698E8,8.3166242e-07
5.2261704E8,8.1679411e-07
5.226171E8,8.1705366e-07
5.2261716E8,8.1710994e-07
5.2261722E8,8.0290783e-07
5.2261728E8,8.0096112e-07
5.2261734E8,8.0848827e-07
5.226174E8,8.0770099e-07
5.2261746E8,8.1030521e-07
5.2261752E8,8.1458791e-07
5.2261758E8,8.2275528e-07
5.2261764E8,8.2367239e-07
5.226177E8,8.3055068e-07
5.2261776E8,8.4508582e-07
5.2261782E8,8.5675293e-07
5.2261788E8,8.5871255e-07
5.2261794E8,8.6883529e-07
5.22618E8,8.8221981e-07
5.2261806E8,9.1957867e-07
5.2261812E8,9.4994687e-07
5.2261818E8,9.6878205e-07
5.2261824E8,9.9355236e-07
5.226183E8,1.0131490e-06
5.2261836E8,1.0465020e-06
5.2261842E8,1.0865820e-06
5.2261848E8,1.1117806e-06
5.2261854E8,1.1320261e-06
5.226186E8,1.1331249e-06
5.2261866E8,1.1045130e-06
