Time [ISO8601],Flare Class,Peak Flux [W/m2]
"2011-02-08T06:25:00Z","B1.6",1.60320e-07
"2011-02-08T06:32:00Z","B1.5",1.58563e-07
"2011-02-08T06:53:00Z","B2.4",2.45061e-07
"2011-02-08T08:22:00Z","B2.5",2.55832e-07
"2011-02-08T09:15:00Z","B3.2",3.25653e-07
"2011-02-08T10:23:00Z","B1.5",1.50582e-07
"2011-02-08T10:31:00Z","B2.1",2.17275e-07
"2011-02-08T11:40:00Z","B2.4",2.49213e-07
"2011-02-08T11:56:00Z","B2.2",2.29228e-07
"2011-02-08T14:49:00Z","B6.9",6.96949e-07
"2011-02-08T16:53:00Z","B4.9",4.96831e-07
"2011-02-08T18:54:00Z","C1.4",1.46316e-06
"2011-02-08T21:12:00Z","C5.7",5.78790e-06
"2011-02-09T00:13:00Z","C1.5",1.59416e-06
"2011-02-09T01:31:00Z","M2.7",2.74593e-05
"2011-02-09T05:47:00Z","B6.0",6.04861e-07
"2011-02-09T07:27:00Z","B4.4",4.49256e-07
"2011-02-09T10:19:00Z","B7.5",7.58518e-07
"2011-02-09T15:27:00Z","B2.9",2.99756e-07
"2011-02-09T16:27:00Z","C1.2",1.21706e-06
"2011-02-09T19:05:00Z","B3.4",3.49327e-07
"2011-02-09T20:04:00Z","B4.0",4.05261e-07
"2011-02-09T20:59:00Z","B2.5",2.53204e-07
"2011-02-09T22:11:00Z","B4.5",4.51981e-07
"2011-02-09T23:03:00Z","C1.1",1.12008e-06
"2011-02-09T23:45:00Z","B5.9",5.97463e-07
"2011-02-10T00:11:00Z","B8.8",8.88295e-07
"2011-02-10T02:40:00Z","B4.9",4.98237e-07
"2011-02-10T02:53:00Z","B4.6",4.61003e-07
"2011-02-10T03:32:00Z","B7.6",7.66619e-07
"2011-02-10T04:43:00Z","B8.5",8.52402e-07
"2011-02-10T05:11:00Z","B5.9",5.90219e-07
"2011-02-10T05:17:00Z","B6.8",6.87069e-07
"2011-02-10T06:27:00Z","C1.0",1.05940e-06
